tweet, polarity, negative, neutral, positive, compound
seriously anti aadhar idiot think scare mongering aadhar number screen shot hyperbole crap,negative,0.671,0.27,0.059,-0.9118
way aadhar hurt bank account without signature thumbprint net banking linked aadhar,negative,0.236,0.764,0.0,-0.5267
al time give vague reason updae aadhar facing alot prblms bcz aadhar linked mobile,negative,0.281,0.719,0.0,-0.5719
state must limited le possible skew towards libertarianism hide behind poverty aadhar different issue,negative,0.377,0.546,0.077,-0.6705
think fine pvt company delivering service based aadhar requirement monopoly improve efficiency,positive,0.0,0.556,0.444,0.7351
aadhar mandatory avoid fake pan card bjp,negative,0.5,0.377,0.123,-0.6124
yogyta ke aadhar par hi hai bus lower cast mai abhi bhi loog jyada padhte nahi h unki cut low rehti h,negative,0.274,0.726,0.0,-0.6597
narendramodi success aadhar pay app key success demonitization decision,positive,0.095,0.405,0.5,0.7906
narendramodi business still using different card payment charge charge please promote aadhar pay app,positive,0.081,0.636,0.283,0.5423
please help mentioned urn change need made effective immediately could link aadhar bank account,positive,0.0,0.576,0.424,0.7964
opened attachment amp read mrswamy note indeed must reach hon ble supreme court pronouncement made aadhar,positive,0.0,0.653,0.347,0.7096
wonderful aadhar card update happened fast great le day change name error ache din come,positive,0.22,0.456,0.324,0.5423
survey people think aadhar case please share view google form,positive,0.0,0.64,0.36,0.5423
convinced dear cji aadhar card linked pan card made mandatory register company india,positive,0.0,0.602,0.398,0.6808
cha gaye guru way u thrash anti aadhar gang wonderful guy see cia hand nirbhay rape u taking stand wonderful,positive,0.229,0.425,0.346,0.5574
got fake call stating account block pls give ur aadhar come got mobile,negative,0.347,0.578,0.075,-0.6908
survey following live tweet aadhar case please share view,positive,0.0,0.609,0.391,0.5423
cr joy remember standing queue aadhar dealing inefficient asshole get mine year ago,positive,0.0,0.759,0.241,0.5859
wow put thing perspective million indian queue aadhar card private company control data,positive,0.0,0.759,0.241,0.5859
individual consent center mandate aadhar many thing like visiting tajmahal god sake,positive,0.0,0.581,0.419,0.6705
issue need urgent medium attention grievous problem npa aadhar money bill kashmir valley lost,negative,0.404,0.505,0.091,-0.7351
heard someone aadhar required visit taj mahal would make worst nightmare emperor shahjahan,negative,0.255,0.745,0.0,-0.6249
aadhar card denied saying never got one made finger print got denied,negative,0.367,0.633,0.0,-0.7003
coz pm promised throw thm cong rather gav thm aadhar card pm regularised giving aadhar constitutional validity,positive,0.0,0.754,0.246,0.5994
link convicted criminal record person aadhar profiling see crime rate coming,negative,0.434,0.566,0.0,-0.7845
aadhar made mandatory activity even supreme court verdict beginning snooping wake bro,positive,0.0,0.581,0.419,0.6705
really bad idea bring aadhar without preceding data privacy law,negative,0.296,0.704,0.0,-0.5849
hahaha aadhar card linked twitter account trolling,positive,0.0,0.625,0.375,0.5574
actually yes need phone number business government forcing aadhar registration even old number,positive,0.0,0.654,0.346,0.5106
going lose pan per govt diktat amp going get refund tds without aadhar strange justice arun jaitly,negative,0.26,0.665,0.076,-0.5972
aadhar fraud going harass genuine tax payer wife tax payer decade aadhar amp pan matching,negative,0.35,0.65,0.0,-0.7906
request please highlight issue right vote election aadhar card india nris oci card holder thanks,positive,0.0,0.612,0.388,0.765
depending loophole aadhar covered enemy may longer even need military action take u,negative,0.241,0.759,0.0,-0.5423
prominent account anon many people support govt support aadhar anon supporting nt business,positive,0.0,0.459,0.541,0.8625
really starter anonymous amp check handle destroy aadhar name anti aadhar groupie mostly anonymous coward,negative,0.423,0.577,0.0,-0.8316
aadhar big role national security n gov service operation big step nation building make citizen connectivity easy gov n othrs,positive,0.0,0.751,0.249,0.6486
adopt aadhar everywhere hostile govt hacker target farming subsidy distribution bankrupt farmer scenario,negative,0.346,0.559,0.095,-0.6705
adopt aadhar everywhere hostile govt hacker run equivalent demonetization india attack u conventionally scenario,negative,0.328,0.575,0.098,-0.6124
last time gentleman argue due lack fact back aadhar,negative,0.402,0.598,0.0,-0.5719
respect view relentless pursuing matter aadhar technology,positive,0.0,0.426,0.574,0.5267
valid criticism heard famous anti aadhar campaigner shri stupidosaur sharma,negative,0.394,0.606,0.0,-0.6369
mainly aadhar data leak hw strong platform citizen id h facet number smart card rd electronic identification e card fr citizen,positive,0.097,0.607,0.296,0.5994
well said either cease expectation state create instrument efficient delivery aadhar help latter,positive,0.0,0.481,0.519,0.8271
complete silence new age medium entrepreneur aap drama although proudly voted aap tweet aadhar,positive,0.0,0.783,0.217,0.5574
one build aadhaar user profile uidai chief via obvious governance failure push aadhar,negative,0.216,0.784,0.0,-0.5106
aadhar make criminal subsequently read,negative,0.459,0.541,0.0,-0.5267
father aadhar card denied time finger print getting registered reason many old people face problem,negative,0.301,0.699,0.0,-0.6808
illegal bangladeshi arrested belagavi karnataka entered state year ago facility including aadhar,negative,0.401,0.599,0.0,-0.7717
btw looking twitter history look like paid troll real person support aadhar blindly,positive,0.0,0.679,0.321,0.6369
say aadhar solving massive problem forged signature country crumbling stop nonsense,negative,0.447,0.412,0.141,-0.6369
aadhar authenticated o released across indus smartphone partner fuck,negative,0.333,0.667,0.0,-0.5423
strike include organ organ detail individual aadhar easy mate selection creation designer baby,positive,0.091,0.606,0.303,0.5423
lol okay also need aadhar buy hybrid electric vehicle fame scheme ministry culture scholarship,positive,0.0,0.591,0.409,0.765
method misused without fa aadhar based txns wide open replay attack already exploited,negative,0.357,0.643,0.0,-0.7269
goi depts already leaked million aadhaar number publicly cant even questionthem thanks aadhar law,negative,0.277,0.647,0.076,-0.5277
modi government central worst government ruining life middle class blw middle class people neet demonization aadhar,negative,0.303,0.697,0.0,-0.7269
kidding much easier screw unified identity mnp implemented w aadhar u even talking abt,positive,0.086,0.494,0.42,0.6597
please make mobile number linking aadhar easy aadhar facilitation centre charging good money,positive,0.0,0.489,0.511,0.8126
give three problem current implementation aadhar incapable balanced viewpoint,negative,0.431,0.569,0.0,-0.6486
aadhar related pm jan dhan yojana launched claimed successful w aadhar right,positive,0.0,0.629,0.371,0.6486
ultimately accept aadhar merit still think govt right u,positive,0.0,0.526,0.474,0.6597
aadhar linked power bill hell corporates ke chamche hai modi govt,negative,0.315,0.685,0.0,-0.6808
shud take action agnst kejriwal accepting crore cash huge blow bhim aadhar payment kapilmishra,positive,0.0,0.71,0.29,0.5994
respected sir unnecessary delay pan allotment aadhar easy quick get,positive,0.15,0.458,0.392,0.5719
pranaam ji process getting aadhar card b operational nris respective embassy big help,positive,0.0,0.645,0.355,0.6705
aadhar mother please help,positive,0.0,0.286,0.714,0.6124
aadhar way contextualizing benefit people fb google amzn nsa collect info create user profile security,positive,0.0,0.615,0.385,0.7579
wonder long use aadhar biometrics horrific idea esp saying ppl right body,negative,0.286,0.714,0.0,-0.6597
govt plan aadhar card free basic health check ups woman cashless medical service pregnant woman,positive,0.0,0.809,0.191,0.5106
unless consent given store aadhar data ekyc give yes give away data giving consent far easy concerning,positive,0.0,0.504,0.496,0.8689
anyone know information leaked via aadhar aadharleaks hamper u propaganda aadharleaks,negative,0.35,0.65,0.0,-0.5106
aadhar wonderful creation become main part life unfortunately hurdels coming fully utilise,positive,0.14,0.523,0.337,0.5267
amp ridiculed tweeted would asked show aadhar future even take shit public lavatory,negative,0.357,0.643,0.0,-0.7269
heard devil u eludes seen however visible aadhar card,negative,0.386,0.614,0.0,-0.6597
sad turncoat every bjp man worth including present pm wanted disband aadhar swears sad,negative,0.321,0.518,0.161,-0.6249
aadhar security data leakage issue authority mixed security threat amp solution evolve go hand hand,positive,0.13,0.305,0.565,0.8555
quite want maintain privacy need stop government systematically destroying noid aadhar,negative,0.377,0.52,0.103,-0.6378
high support aadhar insist aadhar b giving flat lease fix portion hotel customer varify,positive,0.0,0.683,0.317,0.6249
confidentiality aadhar linked data bank ensures citizen prisoner state la communist,negative,0.259,0.741,0.0,-0.5423
dnt undersnd intellectual r spreading myth ground common people loving aadhar based scheme baselessdebate,positive,0.0,0.604,0.396,0.802
common prsn much happy aadhar based payment various account opening,positive,0.0,0.709,0.291,0.5719
send aadhar via dm please help use account,positive,0.0,0.545,0.455,0.6124
great also help request take fin ministry bank must accept udyog aadhar valid document open bank acc,positive,0.0,0.598,0.402,0.8555
aadhar till serving medium provide social security citizen india solution,positive,0.0,0.63,0.37,0.5719
aadhaar hacked data various aadhar card holder leaked online,negative,0.417,0.583,0.0,-0.6124
photo candidate admit card understand id required fun getting aadhar,positive,0.0,0.611,0.389,0.6249
sensible piece link affect speed getting benefit eft v cheque kinda email v snailmail aadhar benefit,positive,0.0,0.667,0.333,0.7184
soon experience depression vi vi aadhar,negative,0.425,0.575,0.0,-0.5719
aadhar perfect actual criticism drown dubious one,negative,0.576,0.19,0.234,-0.6597
aadhar wisdom,positive,0.0,0.227,0.773,0.5267
respected pradhan sevakji great difficulty faced student due confusion producing aadhar faced center india hope,positive,0.186,0.405,0.409,0.7579
confident aadhar govt monologue invite fr panel dialogue,positive,0.0,0.556,0.444,0.5859
aruna roy opposes transparency due aadhar fundamental right allows illegal protect criminal,negative,0.376,0.484,0.14,-0.6597
even make website keep aadhar number safe think figure secure process around aadhar,positive,0.0,0.602,0.398,0.6808
stop govt attacking enforcing aadhar pushing gst reservation,negative,0.464,0.536,0.0,-0.6369
excellent summary govt position aadhar read,positive,0.0,0.575,0.425,0.5719
sir mandatory link aadhar n pan card facing issue update easy way pls circulate via ad,positive,0.0,0.686,0.314,0.5423
similar vein thread beginning think handle false flag operation destroy credibility aadhar,negative,0.241,0.759,0.0,-0.5423
start ur sunday wt excellent takedown quasi libertarian right aadhar,positive,0.0,0.588,0.412,0.6808
u r opposing aadhar ur favorite bangladeshi immigrant easily come india,positive,0.0,0.565,0.435,0.6597
dangerous situation may arise govt us aadhar deny right life blocking aadhar govt absolute power,negative,0.403,0.597,0.0,-0.7964
linking aadhar property sell purchase would kill black money real estate,negative,0.32,0.68,0.0,-0.6908
goi choked fund kashmir thus desperation loot bank believe goi tweet plan also j amp k full aadhar pay,negative,0.349,0.651,0.0,-0.7579
say democracy killed worried aadhar aap ka papi baap laloo chara paisa ka hisab dena padega,negative,0.324,0.676,0.0,-0.7717
biggest beneficiary aadhar illegal immigrant immoral politician,negative,0.482,0.292,0.226,-0.5423
make taj fr innovative program wd oracle wd gov rectify minus point aadhar n,positive,0.0,0.493,0.507,0.8834
sir please particular second day aadhar website server ok,positive,0.0,0.609,0.391,0.5423
watch supreme court advocate cyber law expert point repercussion mandatory aadhar,positive,0.0,0.647,0.353,0.5994
hi doc requested scan copy aadhar card pan detail shared doc also need doc kindly revert,positive,0.0,0.714,0.286,0.6808
additional fud fake company pan company get aadhar actually separate shell company,negative,0.342,0.658,0.0,-0.6369
point aadhar different case like organising data packing gift box giving away,positive,0.0,0.536,0.464,0.7783
already subversive attack taking place demonetization aadhar etc,negative,0.455,0.545,0.0,-0.6124
cuz ur saying believe ya show proof n fool modi stop aadhar stop using stupid argument,negative,0.569,0.431,0.0,-0.9042
thnks alot bro shukr h tujhe trust hua ki aaj mera real bday h besak tune aadhar card hi kyu na check kiya ho,positive,0.0,0.864,0.136,0.5106
smart pipe best defence aadhar come outside india,positive,0.0,0.376,0.624,0.8074
indeed majority ppl suffering due aadharcard rule whether including uidai disaster,negative,0.444,0.556,0.0,-0.802
agree aadhar cia conspiracy fr indian holocaust r u surprised known ridiculous conspiracy theory,negative,0.449,0.338,0.213,-0.7096
guy like give bad name anti aadhar movement,negative,0.436,0.376,0.188,-0.5106
possible neoliberal guy think arnab save world discus aadhar great use one time,positive,0.0,0.601,0.399,0.8074
respected sir think aadhar used place name people good india,positive,0.0,0.571,0.429,0.7184
fraud website nvsp collecting aadhar election id card data ot gov nic domain,negative,0.241,0.759,0.0,-0.5859
gt gt one aadhar card kindly also share another one via mail assistance lt lt,positive,0.0,0.534,0.466,0.8225
clls frm sm suspicious n fraudulent dey r asking aadhar n dbt crd dtls,negative,0.388,0.612,0.0,-0.6908
recd multpl call phn asking aadhar n sbi dbt crd dtls saying crd w blckd fraud,negative,0.226,0.774,0.0,-0.5859
one friend able download aadhar pls suggest,positive,0.0,0.526,0.474,0.5423
template everything fitted around cia scam aadhar evm thyagaraja aaradhane rigged cia via evm,negative,0.341,0.659,0.0,-0.7351
great blog aadhar,positive,0.0,0.328,0.672,0.6249
stupido aadharpocalypse waalas often say muslim killed bjp riot helped aadhar card seems,negative,0.424,0.576,0.0,-0.8442
typo heart screenshot painful aadhar g arguing,negative,0.596,0.404,0.0,-0.7096
equivalent prohibited display aadhar number happen idea bloody moron aadharfail,negative,0.424,0.486,0.09,-0.7003
request please allow aadhar card right vote india nris oci card holder thanks jai hind,positive,0.0,0.628,0.372,0.7269
govt hell bent controlling life thru aadhar j amp k witnessing violence last seen naxalism inc,negative,0.42,0.58,0.0,-0.8658
aadhar brought congress thinking wrong sir right criticising policy p,negative,0.453,0.547,0.0,-0.7003
distilled crap anti aadhar brigade joke worst conspiracy theorist would find india,negative,0.574,0.324,0.102,-0.8807
basic premise fake concern anti modi upa implementing aadhar nobody bothered putting apps ur phone,negative,0.391,0.609,0.0,-0.7717
ru stupid immature argument explain u u use apps w worrying security aadhar ur concerned,negative,0.444,0.428,0.128,-0.7096
whats merit sir aadhar card thank,positive,0.0,0.43,0.57,0.6486
worth mentioning aadhar mandatory ruling supreme court india rishra branch,positive,0.0,0.507,0.493,0.7003
sir unfortunate rishra branch harassed humiliated disabled customer refusing atm card without aadhar,negative,0.563,0.437,0.0,-0.891
reason given aadhar surrender ur privacy small cause fight terrorism terrorism end,negative,0.567,0.433,0.0,-0.9153
raise voice recent aadhar made compulsory criminal made minister money bill route republictv,negative,0.221,0.779,0.0,-0.5267
enrolment centre aadhar handle document poorly along absolutely mismanaged one trust info,positive,0.0,0.755,0.245,0.552
breakthetag lalutapeexposed sahabuddin amp lalu md illegal act aadharcard clarification govt breaking republictv,negative,0.231,0.769,0.0,-0.5574
divert topic r u sending aadhar hard copy lot follow create good example work advice,positive,0.085,0.61,0.305,0.5574
excellent work people sending aadhar month lot follow,positive,0.0,0.654,0.346,0.5719
aadhar accepted proof residence applying visa need communicate counsulates hcs accept pls,positive,0.0,0.6,0.4,0.6124
please change per document aadhar card please cahnge soon possible tej pal mob,positive,0.0,0.705,0.295,0.5574
good initiative mobile phone sim ko aadhar se link karna normally criminal change sim crime,negative,0.317,0.55,0.133,-0.6124
surprising came know lic accept aadhar card valid age proof document applying term policy,positive,0.0,0.719,0.281,0.5719
agree aadhar must security n safety vehicle property bank account must attached aadhar,positive,0.0,0.539,0.461,0.7717
uidai pathetic hd qry abt able update aadhar itportal given site doesnt even open pl tweet,negative,0.198,0.802,0.0,-0.5719
look like cow aadhar card somebody please add printing skill skill india good quality printer digital india,positive,0.0,0.645,0.355,0.7717
despite many opposition govt amp providing aadhar detail wherever asked problem govt fix problem leakage,negative,0.293,0.707,0.0,-0.6597
shud denied voter card aadhar card ration card amp benefit immidiately beast cant vote good leader crime crime,negative,0.435,0.459,0.106,-0.8521
like copyright act aadhar also need approved u p,positive,0.0,0.485,0.515,0.6486
supreme test aadhaar related case tell u whether jurisprudence fit age technology,positive,0.0,0.596,0.404,0.7269
ha ha thought aadhar card could,positive,0.0,0.455,0.545,0.5859
aadhar privacy nothing compared private data mobile phone important protect phone,positive,0.0,0.672,0.328,0.5267
kyc like aadhar bank ac n passport uploaded unified portal approved pls help get done,positive,0.0,0.431,0.569,0.872
insisting show original aadhar card concept original aadhaar digital era,positive,0.0,0.635,0.365,0.5574
fun lutyens medium hailed aadhar massive success upa bjp use claim massive risk,positive,0.105,0.45,0.445,0.7783
aadhar free cost aadhar center charge aadhar update see actual fact,positive,0.0,0.752,0.248,0.5106
aadhar free cost aadhar center charge aadhar update see actual fact,positive,0.0,0.752,0.248,0.5106
govt benefit aadhar linking tax absolutely benefit citizen day citizen live without smartphone,positive,0.0,0.647,0.353,0.7184
twice seriously dissapointed way people working neglecting people complain let center,negative,0.463,0.537,0.0,-0.7096
yes true make easier connect aadhar electric bill,positive,0.0,0.376,0.624,0.8074
ok thank reply one reply aadhar modi authentic site read putin nazi connection le pen trump,positive,0.0,0.749,0.251,0.5719
access account whitout enter one time like phone without aadhar may block account,positive,0.0,0.692,0.308,0.6002
aadhar ho ya cia ya china guy nut probably die saying thing nothing ever prove true insane,negative,0.389,0.611,0.0,-0.8373
sir use aadhar online licence renewal common man suffer time end,negative,0.259,0.741,0.0,-0.5423
aadhar govt money looted name poor poor suffer aadhar rich,negative,0.503,0.311,0.187,-0.7269
call bullshit black money hide oppose aadhar privacy terrorist laundering default,negative,0.56,0.44,0.0,-0.8807
disregard institutional propriety disturbing aadhar enactment,negative,0.574,0.426,0.0,-0.6597
pl introduce aadhar friendly biometric evms next local election stop fake voting booth capturing fair free election,positive,0.203,0.46,0.337,0.5423
absolutely let put entire aadhar amp boi negative trail individual interpretation rule,negative,0.252,0.748,0.0,-0.5719
agree cyber security amp privacy huge risk amp biggest challenge govt make aadhar mandatory,positive,0.106,0.402,0.492,0.6908
requested adhar correct time vai urn aadhar succeed reply solution,positive,0.0,0.593,0.407,0.6705
aadhar compared free apps last thing remember free apps linked bank detail,positive,0.0,0.602,0.398,0.765
average mobile india minimum free apps talk aadhar cyber security online privacy rubbish,positive,0.0,0.659,0.341,0.6908
please check detail posted ap aadhar tn voter linked aadhar take severe action crime aadahrs,negative,0.299,0.588,0.113,-0.5859
yeah cool hv aadhar card current address hv u friend really really long time met,positive,0.0,0.588,0.412,0.7717
absolutely right citizen security b weighed nation security dose advocating aadhar r nation security,positive,0.0,0.53,0.47,0.79
connect thing like nirbhaya cia upa evm amp aadhar get prodigy like stupidosaur dhanya ho prabhu,positive,0.0,0.737,0.263,0.6124
sc likely give verdict allow aadhar mapped pan tax compliant society good india people happily give biometric h b,positive,0.0,0.565,0.435,0.8402
supremecourt nt hv time conduct hearing since oct aadhar scandalous via,negative,0.254,0.746,0.0,-0.5267
narendramodi govt aadhar card must stop fake pan card,negative,0.431,0.569,0.0,-0.6486
even getting aadhar harassment continuing aadhar blocked till surrender biometrics,negative,0.412,0.588,0.0,-0.6808
still havent come across single person wb whose bank acc frozen danger getting freezed due aadhar linkage,negative,0.175,0.825,0.0,-0.5267
narendramodi govt aadhar card must stop fake pan card,negative,0.431,0.569,0.0,-0.6486
stop nonsense compulsion still havent linked aadhar current acc boi shibpur howrah wb,negative,0.308,0.692,0.0,-0.5994
forget smartfones ppl constantly posting pic abt n kid location detail r worried abt aadhar irony,negative,0.325,0.675,0.0,-0.5106
govt aadhar card must stop fake pan card,negative,0.469,0.531,0.0,-0.6486
please help forgot hard copy home provide digital copy aadhar pan,positive,0.097,0.556,0.347,0.5574
victim viciousness aadharcard actually revolutionary card push ahead,negative,0.478,0.522,0.0,-0.6705
ask government force normal indian aadhar human decency freedom,positive,0.0,0.656,0.344,0.6369
supreme test judge aadhar case via,positive,0.0,0.581,0.419,0.5574
aadhar amp rent agreement jaipur city pls help poor girl starter education selected rte school allow,positive,0.134,0.474,0.392,0.6124
one worst experience marol passport office mumbai yday aadhar card valid id proof come quesn,negative,0.227,0.773,0.0,-0.6249
epfo site technical error corrected concerned dept facing problem linking aadhar pf acc,negative,0.329,0.671,0.0,-0.6597
follow simple exercise next time aadhar data leaked internet pan leaked,negative,0.338,0.662,0.0,-0.5574
amazing everyone criticism aadhar amp boi without even confirming illegal migrant easytobenegative,positive,0.156,0.483,0.361,0.5892
since adm jabalapur supreme court faced crisis credibility best aadhar sc,positive,0.206,0.402,0.392,0.5719
aadhar data linked criminal record help hugely crime prevention employee hiring,negative,0.402,0.447,0.151,-0.6697
best one aadhar come across sir,positive,0.0,0.543,0.457,0.6369
aadhar project started government wrong look like congress feared government smartly using poor,negative,0.42,0.357,0.223,-0.6597
yr govt introduced aadhar time didnt check coukd priblem future started doubting idiot,negative,0.341,0.659,0.0,-0.6908
immediately buy ujala scheme led bulb tubelights amp fan producing aadhar card pls revert tx,positive,0.0,0.663,0.337,0.6249
yr aadhar yr half hearted policy yr ailing govt agency cd detect amp deport crore illegal bangladeshi votefoolbank,negative,0.175,0.825,0.0,-0.5574
thanks manmohansingh ji aadhar project aadhar success prof quote history kinder,positive,0.0,0.449,0.551,0.8689
aadhar dispatched still receive please locate help verybad,positive,0.0,0.545,0.455,0.6124
aadhar one side compulsion another side leak wonderful superb safety bio metric data,positive,0.109,0.409,0.482,0.8481
hence kindly take clear pic government id aadhar passport voter id u check needful,positive,0.0,0.655,0.345,0.7003
wish petitioner precise sticking point voluntery system please enlighten danger linking aadhar amp pan,positive,0.157,0.461,0.382,0.5994
wrong linking aadhar pan get rid duplicate bogus pan problem sure danger linking,negative,0.449,0.439,0.112,-0.7845
gain aadharcard system fails black economy win think,positive,0.187,0.333,0.48,0.6597
compulsory aadhar kind donation party,positive,0.0,0.33,0.67,0.7269
thank updating address aadhar card within hour amazing serivce,positive,0.0,0.526,0.474,0.743
two thing remember life first one people bad seen pan card aadhar card,negative,0.226,0.774,0.0,-0.5423
nice congratulate isro otherwise usual bjp may taken credit taken aadhar online bank transaction,positive,0.0,0.561,0.439,0.8225
hahaha joke agenda oppose aadhar bcz good country aadhar year anyone surveilnvd u mr meghnad,positive,0.0,0.558,0.442,0.8271
