tweet, polarity, negative, neutral, positive, compound
traffic condition getting worse noida day day skywalk metro leading huge jam kindly resolve yogiadityanath bjp ndtv,positive,0.128,0.537,0.335,0.6124
virathindu bjp upcm yogiadityanath blast attack nato convoy kill eight people afghanistan,negative,0.438,0.562,0.0,-0.8316
virathindu bjp upcm yogiadityanath abbas say talk trump positive short specific,positive,0.0,0.735,0.265,0.5574
virathindu bjp upcm yogiadityanath trump expected sign religious liberty order thursday,positive,0.0,0.746,0.254,0.5267
virathindu bjp upcm yogiadityanath fake news becomes rallying cry censorship southeast asia,negative,0.383,0.617,0.0,-0.7351
virathindu bjp upcm yogiadityanath happy day cast reunites remember erin moran,positive,0.0,0.73,0.27,0.5719
virathindu bjp upcm yogiadityanath afghan firing pakistan post balochistan kill amp injures,negative,0.415,0.585,0.0,-0.7964
virathindu bjp upcm yogiadityanath trump pick army post drop amid growing criticism,negative,0.318,0.573,0.108,-0.5106
virathindu bjp upcm yogiadityanath trump travel ban back u court next week,negative,0.265,0.735,0.0,-0.5574
virathindu bjp upcm yogiadityanath death count march upward amid venezuela unrest,negative,0.281,0.719,0.0,-0.5994
virathindu bjp upcm yogiadityanath fun utah jazz fan turn table warrior razz,positive,0.0,0.641,0.359,0.6808
virathindu bjp upcm yogiadityanath india supreme court upholds death penalty brutal gang rape c,negative,0.575,0.293,0.132,-0.9201
virathindu bjp upcm yogiadityanath ntsb dead distress call ups cargo crash,negative,0.565,0.435,0.0,-0.886
virathindu bjp upcm yogiadityanath death toll mexico border drug violence rise,negative,0.471,0.529,0.0,-0.8402
support also yogiadityanath promise give light hr city,positive,0.0,0.545,0.455,0.6124
virathindu bjp upcm yogiadityanath angry isolated muntari overturn ban racism protest,negative,0.718,0.282,0.0,-0.936
virathindu bjp upcm yogiadityanath indian muslim statement visiting iran make secularist hatred,negative,0.276,0.724,0.0,-0.6369
virathindu bjp upcm yogiadityanath distrust government apathy loom algerian election,negative,0.496,0.504,0.0,-0.7096
yogiadityanath top chart effect great discipline brought u p administration mvtm get app,positive,0.0,0.604,0.396,0.7096
virathindu bjp upcm yogiadityanath cher sing believe billboard music award month,positive,0.0,0.741,0.259,0.5423
virathindu bjp upcm yogiadityanath low income minority student lag high school grad rate,negative,0.29,0.71,0.0,-0.5423
virathindu bjp upcm yogiadityanath power positive thought,positive,0.0,0.625,0.375,0.5574
upcmyogiadityanath sir please request greaternoida authority harass amp cheat bh eta june alternative allotted people,negative,0.298,0.529,0.173,-0.5574
virathindu bjp upcm yogiadityanath thai press club told cancel discussion stolen plaque,negative,0.342,0.658,0.0,-0.6369
virathindu bjp upcm yogiadityanath correction police shooting teen killed story,negative,0.333,0.667,0.0,-0.6705
virathindu bjp upcm yogiadityanath afro muslim threat,negative,0.362,0.638,0.0,-0.5267
virathindu bjp upcm yogiadityanath year scar syria war still line girl face,negative,0.262,0.738,0.0,-0.5994
virathindu bjp upcm yogiadityanath meerut woman give triple talaq abusive mulla husband,negative,0.276,0.724,0.0,-0.6369
virathindu bjp upcm yogiadityanath islamic enrichment italy female news reporter assaulted duty,negative,0.236,0.764,0.0,-0.5267
learn honorable upcm yogi ji must needed everyone,positive,0.0,0.667,0.333,0.5423
cm yogiadityanath asks lucknow mayor repair broken floor amp door community toilet soon lucknow secures poor rank sbm,negative,0.264,0.638,0.098,-0.5994
cm yogiadityanath asks lucknow mayor prepare proposal bringing complete ban use polythene cause harm environment,negative,0.353,0.647,0.0,-0.7964
yogiadityanath sir lucknow facing worst powercut thw last month despite ur clear instruction responsible official,negative,0.305,0.583,0.112,-0.6103
supremecourtofindia nirbhaya k sabse cruel gunehgar mohammad afroj ko fansi narendramodi yogiadityanath cm,negative,0.257,0.743,0.0,-0.5859
kind benevolence,positive,0.0,0.0,1.0,0.7269
virathindu bjp upcm yogiadityanath criminal shifted far away prison yogi smashing move,negative,0.401,0.599,0.0,-0.7717
virathindu bjp upcm yogiadityanath argentina nun arrested allegedly abusing deaf child,negative,0.404,0.596,0.0,-0.7269
cm yogiadityanath instructed lucknow mayor prepare cleanliness roster ward ensure substantial cleanliness day,positive,0.0,0.714,0.286,0.5267
cm yogiadityanath took broom sweep street balu adda lucknow min city failed swachh bharat ranking,negative,0.191,0.809,0.0,-0.5106
shree yogi ji aaj se clean drive shuru kiye hai ummid hai next year achha rank aayega positive yogiadityanath,positive,0.0,0.73,0.27,0.743
upcm dear sir please help,positive,0.0,0.208,0.792,0.765
virathindu bjp upcm yogiadityanath ballistic missile test fired california coastal base,negative,0.265,0.735,0.0,-0.5574
virathindu bjp upcm yogiadityanath germany arrest syrian suspected membership,negative,0.381,0.619,0.0,-0.5106
good eveningeveryone lad medical student upcm glad back healthxph,positive,0.0,0.543,0.457,0.7096
virathindu bjp upcm yogiadityanath afghan firing pakistan post balochistan kill amp injures,negative,0.415,0.585,0.0,-0.7964
virathindu bjp upcm yogiadityanath education expert international student safe welcome u,positive,0.0,0.576,0.424,0.7096
future good uttarpradesh wid cm respect yogiadityanath,positive,0.0,0.455,0.545,0.7184
virathindu bjp upcm yogiadityanath human right group warns rising violence rio de janeiro,negative,0.333,0.667,0.0,-0.6705
kind cm state right hand myogiadityanath uttarpradesh yogiadityanath,positive,0.0,0.476,0.524,0.765
cm pick broom declared dirtiest city yogiadityanath swachhsurvekshan updeclareddirtiest,negative,0.298,0.702,0.0,-0.5267
virathindu bjp upcm yogiadityanath indonesia official u speaker ryan link islam terrorism,negative,0.315,0.685,0.0,-0.6808
virathindu bjp upcm yogiadityanath breaking justice nirbaya supreme court upholds death sentence f,positive,0.193,0.396,0.411,0.5267
virathindu bjp upcm yogiadityanath rajdeep sardesai feel rapist hanged say send ne,negative,0.308,0.692,0.0,-0.7096
virathindu bjp upcm yogiadityanath capt amarinder singh back modi government say give free hand indi,positive,0.0,0.667,0.333,0.7579
virathindu bjp upcm yogiadityanath pakistan kill soldier line control,negative,0.37,0.63,0.0,-0.6908
virathindu bjp upcm yogiadityanath u hosting asean foreign minister discus north korea threat,negative,0.236,0.764,0.0,-0.5267
discipline flow top bottom yogiadityanath ji leading example positive sign state affair uttarpradesh,positive,0.0,0.671,0.329,0.6597
virathindu bjp upcm yogiadityanath shampoo ad islamic country make go rofl,positive,0.0,0.73,0.27,0.5719
virathindu bjp upcm yogiadityanath trump turnbull u australian relation strong long lasting,positive,0.0,0.752,0.248,0.5106
virathindu bjp upcm yogiadityanath answer quora modi biggest liar world,negative,0.268,0.732,0.0,-0.5106
cm yogi adityanath angry lucknow mayor filthy condition city yogiadityanath,negative,0.268,0.732,0.0,-0.5106
yogiadityanath society require policy broom clean poverty illness uneployment foodinsecurity,negative,0.382,0.446,0.172,-0.5106
v logical n never discussed let dead cow get respect dead hindu yogiadityanath gaurakshak,positive,0.0,0.474,0.526,0.8745
noida authority destroying street food truck way govt serving people upcmyogiadityanath,negative,0.259,0.647,0.094,-0.5106
yogiadityanath upgovt upcm gda say model n wine shop allowed govindpuram shopping complex long need get justice,positive,0.0,0.815,0.185,0.5267
virathindu bjp upcm yogiadityanath spur anguish west ham loss eas chelsea path title,negative,0.36,0.64,0.0,-0.7351
virathindu bjp upcm yogiadityanath angry isolated muntari overturn ban racism protest,negative,0.718,0.282,0.0,-0.936
virathindu bjp upcm yogiadityanath muslim majority village mathura imposes heavy penalty woman talk,negative,0.286,0.714,0.0,-0.5267
virathindu bjp upcm yogiadityanath eu accepts amazon e book commitment,positive,0.0,0.476,0.524,0.6808
virathindu bjp upcm yogiadityanath delhi pull nd biggest successful run chase ipl,positive,0.0,0.743,0.257,0.5859
bjp win daily story via yogiadityanath,positive,0.0,0.568,0.432,0.5859
swachh bharat abhiyaan yogiadityanath take broom clean lucknow slum top news,positive,0.0,0.667,0.333,0.5423
virathindu bjp upcm yogiadityanath sickulars hate indian muslim said visiting iran,negative,0.27,0.73,0.0,-0.5719
bug software could lot damage exploited via modi yogiadityanath bug tech usa israel,negative,0.36,0.64,0.0,-0.7351
crucifixion trauma merchant preying youth source café cornwall modi yogiadityanath evil intent,negative,0.419,0.581,0.0,-0.802
virathindu bjp upcm yogiadityanath wonderful kashmiri student show mirror pakistan,positive,0.0,0.709,0.291,0.5719
yogiadityanath dear sir tillnow much crime fear criminal crime implement law stronglythen possible,negative,0.562,0.331,0.107,-0.9001
kindly refund money urgent basis yogiadityanath pmo narendramodi,positive,0.0,0.545,0.455,0.6124
virathindu bjp upcm yogiadityanath fake news becomes rallying cry censorship southeast asia,negative,0.383,0.617,0.0,-0.7351
modi pmo yogiadityanath kindly refund money otherwise go source like consumer forum,positive,0.0,0.637,0.363,0.6908
virathindu bjp upcm yogiadityanath north korea accuses u plotting kim assassination,negative,0.441,0.559,0.0,-0.743
virathindu bjp upcm yogiadityanath fake news becomes rallying cry censorship southeast asia,negative,0.383,0.617,0.0,-0.7351
virathindu bjp upcm yogiadityanath india supreme court upholds death penalty brutal gang rape c,negative,0.575,0.293,0.132,-0.9201
virathindu bjp upcm yogiadityanath pakistan afghanistan border clash leave many dead,negative,0.379,0.621,0.0,-0.6705
virathindu bjp upcm yogiadityanath islamic enrichment italy female news reporter assaulted duty,negative,0.236,0.764,0.0,-0.5267
shri yogiadityanath ji shared stage lalu took order murder convict,negative,0.311,0.53,0.159,-0.5106
uttarpradesh chief minister yogiadityanath lead hinduterrorist group hinduyuvavahini murdered,negative,0.355,0.645,0.0,-0.6597
super foxnewsus swasthabharat jantakareporter yogiadityanath incredibleindia republictv baahubali nirbhayaverdict,positive,0.0,0.672,0.328,0.5994
torturing student temperature sant atulanand convent varanasi narendramodi yogiadityanath smritiirani,negative,0.308,0.692,0.0,-0.6124
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
yogiadityanath wields broom vow make open defecation free politics news,positive,0.0,0.732,0.268,0.5106
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
m credit go yogiadityanath yes ousted muslim u alleged yes muslim ousted kp k,positive,0.0,0.5,0.5,0.7906
virathindu bjp upcm yogiadityanath nifty best performer asia buoyed rise investor,positive,0.0,0.566,0.434,0.7845
virathindu bjp upcm yogiadityanath breaking news juvenile rapist turn nirbhaya case file,negative,0.308,0.692,0.0,-0.7096
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
virathindu bjp upcm yogiadityanath suicide attack nato convoy afghan capital kill,negative,0.606,0.394,0.0,-0.9231
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
virathindu bjp upcm yogiadityanath trump optimistic israeli palestinian peace without endorsing two,positive,0.0,0.633,0.367,0.7003
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
virathindu bjp upcm yogiadityanath trump travel ban back u court next week,negative,0.265,0.735,0.0,-0.5574
yogiadityanath cmyogiadityanath project name proplarity scam crore owner mr satender tomer,negative,0.27,0.73,0.0,-0.5719
indian democracy amp secularism threat modi intolerance breaking btsbbmas weekend indian yogiadityanath arnabwithyousoon,negative,0.221,0.779,0.0,-0.5267
yogiadityanath happy kind work stay blessed stay motivated,positive,0.0,0.222,0.778,0.9325
yogi adityanath pick broom kick start clean uttar pradesh mission yogiadityanath uttarpradesh clean india news tale atalebook,positive,0.0,0.735,0.265,0.6597
cm yogiadityanath vow make open defecation free take broom clean lucknow,positive,0.0,0.6,0.4,0.7184
bjp win daily story via bjp yogiadityanath,positive,0.0,0.612,0.388,0.5859
namaskaram naidu ji u r good cm indian citizen like naxalbijuson headache odisha neighbor india,positive,0.0,0.671,0.329,0.6597
virathindu bjp upcm yogiadityanath venezuelan block road protest maduro constitution call,negative,0.353,0.647,0.0,-0.5994
virathindu bjp upcm yogiadityanath u house repeal obamacare senate approval challenge,positive,0.0,0.645,0.355,0.5267
venice ban kebab shop preserve decorum tradition city beef yogiadityanath,negative,0.286,0.714,0.0,-0.5574
election employment generation sector level decide win govt,positive,0.0,0.648,0.352,0.5859
yogiadityanath pick broom kick start clean uttarpradesh mission top news,positive,0.0,0.64,0.36,0.5423
virathindu bjp upcm yogiadityanath un expert philippine rebuke duterte war drug,negative,0.281,0.719,0.0,-0.5994
virathindu bjp upcm yogiadityanath pentagon war plan sent u next week afghanistan,negative,0.281,0.719,0.0,-0.5994
virathindu bjp upcm yogiadityanath afro muslim threat,negative,0.362,0.638,0.0,-0.5267
virathindu bjp upcm yogiadityanath divine miracle dad chant om amp cry baby go sleep,positive,0.144,0.512,0.344,0.6486
shri yogi governance u p good fame rose everywhere including n tnpeople upcm,positive,0.0,0.58,0.42,0.7003
virathindu bjp upcm yogiadityanath trump celebrates hill victory relish visit hometown,positive,0.0,0.73,0.27,0.5719
virathindu bjp upcm yogiadityanath state california confederate flag ban excludes individual,negative,0.265,0.735,0.0,-0.5574
virathindu bjp upcm yogiadityanath cher sing believe billboard music award month,positive,0.0,0.741,0.259,0.5423
virathindu bjp upcm yogiadityanath trump prepares meet abbas peace deal seems far,positive,0.0,0.759,0.241,0.5423
virathindu bjp upcm yogiadityanath protester line nyc hoping chance boo trump,positive,0.0,0.652,0.348,0.5859
upcm shri yogiadityanathcmofup congratulates amp hon pm shri successful launch southasiasatellite uttarpradesh,positive,0.0,0.743,0.257,0.5859
virathindu bjp upcm yogiadityanath army photographer capture death mortar explosion,negative,0.302,0.698,0.0,-0.5994
virathindu bjp upcm yogiadityanath germany arrest syrian suspected membership,negative,0.381,0.619,0.0,-0.5106
virathindu bjp upcm yogiadityanath venezuelan take street death toll jump,negative,0.302,0.698,0.0,-0.5994
virathindu bjp upcm yogiadityanath iraqi entrepreneur find business success smartphone apps,positive,0.0,0.73,0.27,0.5719
virathindu bjp upcm yogiadityanath abbas say talk trump positive short specific,positive,0.0,0.735,0.265,0.5574
virathindu bjp upcm yogiadityanath indonesia official u speaker ryan link islam terrorism,negative,0.315,0.685,0.0,-0.6808
yogiji watch police stealing electricity yogiadityanath,negative,0.425,0.575,0.0,-0.5719
virathindu bjp upcm yogiadityanath year scar syria war still line girl face,negative,0.262,0.738,0.0,-0.5994
virathindu bjp upcm yogiadityanath africa food crisis get attention world economic forum,negative,0.272,0.728,0.0,-0.6249
super yogiadityanath,positive,0.0,0.204,0.796,0.5994
virathindu bjp upcm yogiadityanath bangladesh arrest leader militant group accused killing gay,negative,0.5,0.5,0.0,-0.8402
virathindu bjp upcm yogiadityanath texas lawmaker approve ban sanctuary city,negative,0.286,0.714,0.0,-0.5574
virathindu bjp upcm yogiadityanath un expert philippine rebuke duterte war drug,negative,0.281,0.719,0.0,-0.5994
virathindu bjp upcm yogiadityanath cop post suicide note facebook end life inside police statio,negative,0.257,0.743,0.0,-0.6705
virathindu bjp upcm yogiadityanath turkey president rejoins ruling party referendum win,positive,0.0,0.581,0.419,0.7579
virathindu bjp upcm yogiadityanath google warns email scam impersonates google doc,negative,0.362,0.638,0.0,-0.6249
yogiadityanath cmup sir interview excellent aajtak,positive,0.0,0.575,0.425,0.5719
law justice arent repeal recall basis delhi maywitharnab panchayatirajday panchayatup yogiadityanath constitution sandwich,positive,0.0,0.779,0.221,0.5267
virathindu bjp upcm yogiadityanath pressure pressure others arnab goswami,negative,0.386,0.614,0.0,-0.5267
illegal india pakistanchannels panchayatirajday panchayatup yogiadityanath tripletalaq nirbhaya rcbvkxip,negative,0.31,0.69,0.0,-0.5574
virathindu bjp upcm yogiadityanath afghan firing pakistan post balochistan kill amp injures,negative,0.415,0.585,0.0,-0.7964
virathindu bjp upcm yogiadityanath freedom gone work go south sudan journalist,positive,0.0,0.704,0.296,0.6369
virathindu bjp upcm yogiadityanath thai press club told cancel discussion stolen plaque,negative,0.342,0.658,0.0,-0.6369
virathindu bjp upcm yogiadityanath n korea issue direct criticism china amid nuke dispute,negative,0.359,0.641,0.0,-0.6808
virathindu bjp upcm yogiadityanath rashford give united win europa league semifinal,positive,0.0,0.577,0.423,0.765
virathindu bjp upcm yogiadityanath fun utah jazz fan turn table warrior razz,positive,0.0,0.641,0.359,0.6808
also get justice raj u r hope mine बस आप स ह उम म द ह must reply yogiadityanath ji,positive,0.0,0.636,0.364,0.743
virathindu bjp upcm yogiadityanath police officer shot killed texas teen fired,negative,0.474,0.526,0.0,-0.8442
power cut within hour amazing strike rate electricity board chipiyana khurd greater noida yogiadityanath,positive,0.181,0.503,0.317,0.5719
dear upcm plan making education system efficient make world class panchayatup,positive,0.0,0.625,0.375,0.6597
yogiadityanath panchayat aajtak everyone feel safe uttarpradesh day top news,positive,0.0,0.63,0.37,0.5719
virathindu bjp upcm yogiadityanath breaking watch hizbul terrorist torturing indian army informer,negative,0.465,0.535,0.0,-0.8658
yogi ji look like hollywood hero vin desial ask abt dis panchayatup yogiadityanath,positive,0.0,0.643,0.357,0.7269
yogiadityanath fearless showing big vision little smile hope good work continues panchayatup,positive,0.0,0.361,0.639,0.8851
great speech upcm public strong support panchyatup,positive,0.0,0.284,0.716,0.8779
upcm yogiadityanath aiming double farmer income end vip culture state,positive,0.0,0.732,0.268,0.5106
virathindu bjp upcm yogiadityanath u house repeal obamacare senate approval challenge,positive,0.0,0.645,0.355,0.5267
virathindu bjp upcm yogiadityanath human right group warns rising violence rio de janeiro,negative,0.333,0.667,0.0,-0.6705
virathindu bjp upcm yogiadityanath nifty best performer asia buoyed rise investor,positive,0.0,0.566,0.434,0.7845
virathindu bjp upcm yogiadityanath white house appreciates infosys move hire american,positive,0.0,0.752,0.248,0.5106
lucknow upcm expressed sorrow loss life road accident etah,negative,0.595,0.405,0.0,-0.8316
road condition near crossing republic ghaziabad integrated township hope condition improve soon upcm,positive,0.0,0.655,0.345,0.7003
virathindu bjp upcm yogiadityanath india told pick champion trophy squad immediately,positive,0.0,0.719,0.281,0.5994
virathindu bjp upcm yogiadityanath rashford give united win europa league semifinal,positive,0.0,0.577,0.423,0.765
virathindu bjp upcm yogiadityanath protester line nyc hoping chance boo trump,positive,0.0,0.652,0.348,0.5859
virathindu bjp upcm yogiadityanath police hernandez cited bible passage john suicide,negative,0.31,0.69,0.0,-0.6705
virathindu bjp upcm yogiadityanath maldives police arrest suspect blogger murder,negative,0.571,0.429,0.0,-0.8519
virathindu bjp upcm yogiadityanath philippine justice writes online book china sea claim,positive,0.0,0.764,0.236,0.5267
virathindu bjp upcm yogiadityanath hacking arrest fake news tense french presidential race,negative,0.467,0.533,0.0,-0.7845
virathindu bjp upcm yogiadityanath delhi pull nd biggest successful run chase ipl,positive,0.0,0.743,0.257,0.5859
congratulation another successful launch salute ji giving strong leadership cm yogiadityanath,positive,0.0,0.343,0.657,0.9246
virathindu bjp upcm yogiadityanath breaking watch hizbul terrorist torturing indian army informer,negative,0.465,0.535,0.0,-0.8658
upcm shri congratulates amp hon pm shri successful launch southasiasatellite,positive,0.0,0.703,0.297,0.5859
upcm shri congratulates amp hon pm shri successful launch southasiasatellite,positive,0.0,0.703,0.297,0.5859
virathindu bjp upcm yogiadityanath coal mine blast kill least iran dozen trapped,negative,0.448,0.552,0.0,-0.8442
virathindu bjp upcm yogiadityanath muslim woman meerut give triple talaq husband harassing,negative,0.241,0.759,0.0,-0.5423
virathindu bjp upcm yogiadityanath local student international ngo discus culture peace,positive,0.0,0.741,0.259,0.5423
virathindu bjp upcm yogiadityanath afghan firing pakistan post balochistan kill amp injures,negative,0.415,0.585,0.0,-0.7964
virathindu bjp upcm yogiadityanath german official see promise expanding russia backed syrian peace,positive,0.0,0.592,0.408,0.7096
virathindu bjp upcm yogiadityanath venezuelan block road protest maduro constitution call,negative,0.353,0.647,0.0,-0.5994
virathindu bjp upcm yogiadityanath year old raped year old man pretext chocolate,negative,0.295,0.705,0.0,-0.6808
virathindu bjp upcm yogiadityanath u house repeal obamacare senate approval challenge,positive,0.0,0.645,0.355,0.5267
virathindu bjp upcm yogiadityanath former afghan warlord call peace afghan taliban,positive,0.0,0.741,0.259,0.5423
christ crucified sin child abuse cornwall modi yogiadityanath ge education,negative,0.494,0.506,0.0,-0.8316
yogiadityanath responsible gorakhpur azamgarh kushinagar riot killing muslim chief secretary summoned court,negative,0.415,0.466,0.119,-0.7717
virathindu bjp upcm yogiadityanath book ivanka trump must walk complicated ethical line,positive,0.0,0.769,0.231,0.5106
virathindu bjp upcm yogiadityanath pentagon war plan sent u next week afghanistan,negative,0.281,0.719,0.0,-0.5994
virathindu bjp upcm yogiadityanath cop post suicide note facebook end life inside police statio,negative,0.257,0.743,0.0,-0.6705
virathindu bjp upcm yogiadityanath low dose aspirin might reduce risk common breast cancer,negative,0.462,0.538,0.0,-0.8225
virathindu bjp upcm yogiadityanath abbas say talk trump positive short specific,positive,0.0,0.735,0.265,0.5574
bjp win daily story via yogiadityanath,positive,0.0,0.568,0.432,0.5859
virathindu bjp upcm yogiadityanath eu accepts amazon e book commitment,positive,0.0,0.476,0.524,0.6808
virathindu bjp upcm yogiadityanath meerut woman give triple talaq abusive mulla husband,negative,0.276,0.724,0.0,-0.6369
virathindu bjp upcm yogiadityanath trump celebrates house passage obamacare replacement,positive,0.0,0.709,0.291,0.5719
virathindu bjp upcm yogiadityanath human right group warns rising violence rio de janeiro,negative,0.333,0.667,0.0,-0.6705
virathindu bjp upcm yogiadityanath venezuelan take street death toll jump,negative,0.302,0.698,0.0,-0.5994
virathindu bjp upcm yogiadityanath shampoo ad islamic country make go rofl,positive,0.0,0.73,0.27,0.5719
thank much privilege interviewed forever remember one hour life god glory upcm,positive,0.0,0.43,0.57,0.8625
virathindu bjp upcm yogiadityanath hinduism many god brilliant answer london based physi,positive,0.0,0.629,0.371,0.7096
would love see contrast upcm work done day punjab panchayatup,positive,0.0,0.682,0.318,0.6369
yogiadityanath share development agenda panchayat aajtak special programme focused issue,positive,0.0,0.483,0.517,0.7579
virathindu bjp upcm yogiadityanath afro muslim threat,negative,0.362,0.638,0.0,-0.5267
virathindu bjp upcm yogiadityanath indonesia official u speaker ryan link islam terrorism,negative,0.315,0.685,0.0,-0.6808
virathindu bjp upcm yogiadityanath freedom gone work go south sudan journalist,positive,0.0,0.704,0.296,0.6369
virathindu bjp upcm yogiadityanath africa food crisis get attention world economic forum,negative,0.272,0.728,0.0,-0.6249
yogiadityanath respected sir uppsc aps ka result nikal please please,positive,0.0,0.476,0.524,0.7717
virathindu bjp upcm yogiadityanath humanitarian crisis deepens car amid resurging violence,negative,0.477,0.523,0.0,-0.8481
virathindu bjp upcm yogiadityanath beauty democracy epic late shri pramod mahajan,positive,0.0,0.725,0.275,0.5859
virathindu bjp upcm yogiadityanath qutub minar amp quwat ul islam mosque stand ruin jain hi,negative,0.213,0.787,0.0,-0.5859
recent outstanding workout upstf yogiadityanath lakh rewardee munir cr ponzi scam noida amp petrol pump oil chip scam,negative,0.28,0.568,0.152,-0.5267
virathindu bjp upcm yogiadityanath two soldier killed mutilated pakistan army india,negative,0.31,0.69,0.0,-0.6705
modi yogiadityanath evil intent crucifixion trauma control child turn state bharat,negative,0.444,0.556,0.0,-0.802
virathindu bjp upcm yogiadityanath indian muslim statement visiting iran make secularist hatred,negative,0.276,0.724,0.0,-0.6369
virathindu bjp upcm yogiadityanath trump celebrates house passage obamacare replacement,positive,0.0,0.709,0.291,0.5719
virathindu bjp upcm yogiadityanath trump turnbull u australian relation strong long lasting,positive,0.0,0.752,0.248,0.5106
cornwall modi yogiadityanath christianity adharma crucifixion trauma mind control evil intent anti hindu child abuse,negative,0.555,0.445,0.0,-0.9287
virathindu bjp upcm yogiadityanath bengaluru follows delhi cue free washroon initiative,positive,0.0,0.752,0.248,0.5106
bjp win daily story via bjp yogiadityanath,positive,0.0,0.612,0.388,0.5859
yuva vahini like sparrow gameoftherones high sparrow yogiadityanath india play book,positive,0.0,0.647,0.353,0.5994
yogiadityanath narendramodi uttar pradesh lack basic block pillar development e swachta aka cleanliness,negative,0.342,0.658,0.0,-0.6369
virathindu bjp upcm yogiadityanath uncle sam want train others k bonus offered,positive,0.0,0.652,0.348,0.5859
yogiadityanath love muslim,positive,0.0,0.323,0.677,0.6369
virathindu bjp upcm yogiadityanath afghan official taliban attack north kill policeman,negative,0.464,0.536,0.0,-0.8316
data yogiadityanath self sworn affidavit pending crim charge attempt murder amp creating religious disharmony,negative,0.249,0.635,0.116,-0.5423
virathindu bjp upcm yogiadityanath turkey president rejoins ruling party referendum win,positive,0.0,0.581,0.419,0.7579
virathindu bjp upcm yogiadityanath nigerian president miss cabinet meeting amid health fear,negative,0.324,0.676,0.0,-0.5859
virathindu bjp upcm yogiadityanath oklahoma busy death chamber stay quiet much longer,negative,0.262,0.738,0.0,-0.5994
virathindu bjp upcm yogiadityanath day history castro ban election declares cuba socialist co,negative,0.231,0.769,0.0,-0.5574
virathindu bjp upcm yogiadityanath n korea issue direct criticism china amid nuke dispute,negative,0.359,0.641,0.0,-0.6808
